	Emociones	GSR_Avg_Resistance	GSR_Num_Minima	GSR_Avg_Rise_Time	GSR_Spectral_Power_1	GSR_Spectral_Power_2	GSR_Spectral_Power_3	GSR_Spectral_Power_4	GSR_Spectral_Power_5	GSR_Spectral_Power_6	GSR_Spectral_Power_7	GSR_Spectral_Power_8	GSR_Spectral_Power_9	GSR_Spectral_Power_10	BVP_Avg_HR	BVP_Std_HR	BVP_Energy_Ratio	BVP_Spectral_Power	RP_Avg_Respiration	RP_Std_Respiration	RP_Breathing_Rate	ST_Avg_Skin_Temperature	ST_Avg_Derivative	ST_Spectral_Power_0-0.1Hz	zEMG_Energy	zEMG_Mean	zEMG_Variance	tEMG_Energy	tEMG_Mean	tEMG_Variance	hEOG_Energy	hEOG_Mean	hEOG_Variance	vEOG_Energy	vEOG_Mean	vEOG_Variance	Spectral_Power_T7	Spectral_Power_T8	Spectral_Power_Asymmetry
Video 21	Neutra	7491.825681193762	16	370.4	13946.809037804444	3654.0534048458794	2234.3013848478618	1292.8379918184737	994.780058622567	882.2162039099502	773.4824068774496	704.9285835743069	698.9460016201897	507.9735448709927	59.338188128176455	6.195740563931154	0.09276611495996324	3663.9148858370327	-3316.206193451904	5943.107610977923	15.626858663327594	0.03780573487604111	1.2254744914223111e-05	0.3187587570837826	91276282.30197573	99.44486067506666	4092.993322261389	323409284.2687435	-182.99872359863446	16053.330560281547	79588054.96769413	7.897580382599097	12129.425860082945	302869191.4385449	-178.89989730274286	14390.229845335358	506483227.87548476	259.00438030244743	10503.009764090797
Video 22	Neutra	-5858.952514020933	15	502.6666666666667	10545.959299619428	3626.053556994281	3421.8558459868627	1401.1344415098383	1370.3273066967452	1150.1189987138107	1036.1228307194638	791.7294160552193	747.0093542100204	727.5966648237631	59.25260082824311	6.544052291156634	0.04690764104621489	3455.5426317599254	3739.555460994803	5883.356330232667	12.455400583846902	0.005854857567031015	-4.289160719978089e-06	0.0579553728401988	33192038.36290599	18.04441461345991	4758.963801457615	49855889.4287197	61.93087993777474	3801.8040740912193	504112828.87754333	-272.62176284613616	2900.540611014253	198394609.0054278	-134.3118018409886	12351.670922597692	506483227.87548476	259.00438030244743	10503.009764090797
Video 23	Neutra	8413.296567753054	15	406.6666666666667	15661.757583923676	3961.8744229198433	2123.2137642092744	1565.45251014393	872.2253832517035	776.3875478565072	722.6950591067156	546.9323183078079	540.969526449398	491.13899602353763	59.38352474444232	5.942272048287292	0.00948643452948761	2432.5968592181193	-3618.6208939333446	3989.8751542420346	11.905130987443806	-0.020004339229336737	7.506031259961112e-06	0.14663387020607926	13169341.178834654	-31.398183214131944	1031.5164037860334	257362321.76894718	160.4708805353664	13673.471771182583	68433925.62407333	75.81366199865923	4735.4267707858535	1029983273.8080302	-352.42653266653696	33574.8395947058	506483227.87548476	259.00438030244743	10503.009764090797
Video 24	Neutra	4788.420431893893	20	416.0	8906.48130801296	2404.9957886304906	1586.973288992824	1263.3067792903105	976.5421426422282	719.7771758370891	541.9446549084053	341.14551013215	305.1118392223866	302.47994469059216	59.68362488029998	4.27309217686182	0.12372232546681342	9161.848034909674	1272.0833237220056	5459.672255619364	14.328358208955224	0.052783484110329806	1.0569717488516889e-05	0.298360904539598	57881713.0434605	58.061526257130225	5495.543152065817	582442235.4645793	264.36191674191986	19334.93314451913	91957132.38052076	49.937594423757716	11592.807187145116	713975168.1290307	-296.4646310532156	21479.91863267785	506483227.87548476	259.00438030244743	10503.009764090797
Video 25	Neutra	12224.205613505905	15	323.2631578947368	22860.075098156336	8152.220955059106	3884.7682830579865	2608.5215105485613	1374.7858034791989	1130.8875821497963	1086.6430509441834	978.8417874202206	883.6373738685159	781.9481289823932	59.24267318108971	6.594198894585795	0.17192504413865026	3528.470743086724	3116.949256557664	6500.313724545577	13.518963034085452	4.365752864418376e-05	2.9105019171285334e-06	0.08566576957290296	38371132.591064274	-38.824477320042114	4370.590811172391	1697919003.5796838	482.2044935053933	27576.71302097713	58224862.94690119	0.9100301046971603	8918.421683888262	192740191.821341	98.71402945799281	19780.692321582734	506483227.87548476	259.00438030244743	10503.009764090797
Video 26	Neutra	13578.003188003233	11	551.6363636363636	24985.046372225424	7782.230912310456	3140.8002488758307	962.848175547595	693.5095131633907	620.1304739454691	478.95181563860893	439.5612351159661	412.9084325834849	410.9733569286462	59.65332228882307	4.430569847455084	0.012567275717430217	3483.19275346588	-14803.91432521714	6127.583103796949	14.970760233918128	-0.05422939082582428	-9.344242997095667e-06	0.26122625636412694	18104515.590549573	-15.914052243100175	2520.10623632483	8824374913.698349	1156.6523846657742	13928.378954201058	56187389.96876967	-0.3357741191283349	8607.024199486277	246432333.85998327	167.9818577721431	9532.146602186536	506483227.87548476	259.00438030244743	10503.009764090797
Video 27	Neutra	15272.031525362077	17	342.6666666666667	28343.60513551714	5734.266025493626	2429.2257592228925	2114.023598462045	1478.5212705891613	1111.1621965669917	1059.4551089768795	962.218994465132	891.7680256685724	880.5838580941061	59.52880482723423	5.165693446309053	0.2173908704267338	5027.336418715661	-4059.466356935958	4286.294481864983	13.603864734299519	-0.05063446140523185	4.595529342833667e-06	0.18674904895472905	116237807.94214988	-19.390076955380835	17430.061671508447	100135677.20191172	80.3573452009786	8882.108408327918	50327802.341248974	-73.9033513051577	2247.8232107881627	137661809.3113784	-89.29244951686269	13114.758169967621	506483227.87548476	259.00438030244743	10503.009764090797
Video 28	Neutra	1445.0719278548795	17	478.15384615384613	5544.9117720566055	2875.92708079538	2673.8659251172344	1563.8444297753526	1502.4028995546887	1257.1791190226957	1221.9728993773838	936.271405007712	860.5887026632342	773.104776421568	59.50026804220252	5.371596645116326	0.12166419054173865	7869.925601697272	-7402.705052521787	4355.500046071724	13.484437350359139	-0.10526274417789497	-2.6271109409866068e-05	0.6426161840388261	15220178.62387313	32.35284310008029	1284.816004106466	29025913.35373217	-44.52079415380349	2464.2704188172556	55048412.336631864	-60.68814422086504	4749.610354555649	100869655.05715318	-95.43585881488345	6343.84352155993	506483227.87548476	259.00438030244743	10503.009764090797
Video 29	Neutra	8975.422020934473	11	611.2	16831.629737392144	6700.67467925236	3010.3203229203764	1474.246880778611	1355.2087347517388	1300.3726228164617	1294.2837384600737	1111.592717112043	661.8676652850352	585.4844583871441	59.54095851724296	5.1328991055615525	0.12277333636407899	3925.200791010502	-1631.876719117272	4028.234254541819	15.900621118012422	-0.08432076377861486	-1.8305525215621044e-05	0.48338274978791546	15667959.67536611	19.099061868192635	2035.3422075941212	370963186.66432464	202.95184523979697	15637.017059154357	21722172.342562698	-10.96386129023401	3207.3324010255883	26428171.25538531	-36.430955777615885	2721.2185578489593	506483227.87548476	259.00438030244743	10503.009764090797
Video 30	Neutra	-6990.046539632957	12	588.8	12507.596119240154	6032.683695957172	4756.105087460854	3087.1375161356787	2087.9524575161427	1594.518772998108	1049.7130047981177	845.4118015269256	610.2393568430413	462.116537969563	59.655337045078106	4.472087818915494	0.08984199163745575	5740.606532031016	-5440.564745195679	3204.060345800718	11.493182573994014	-0.02628795968412274	0.0	0.1415760419370543	88545910.83764292	-102.78775239949239	2998.6961609564364	60158834.96534672	-4.4852331723013155	9195.390490581678	16585124.916206045	15.276420340775733	2307.244479765261	27178256.460460592	-6.111340768147298	4125.987368865549	506483227.87548476	259.00438030244743	10503.009764090797
Video 31	Neutra	-1795.6889079066573	13	568.3636363636364	7551.049166848956	3865.5921097477476	2808.489340229672	2344.2418751676323	2200.0496732785236	1739.5709889149502	1195.0408556705115	1120.970878481948	1052.0507333094324	922.4663428210775	59.62364613627888	4.661892364756087	0.1806952152378332	3501.8397502997796	-5863.890604004378	4900.260137450462	12.393093432305953	-0.05626475077161571	-5.0550822771175776e-06	0.3144672732310891	21093714.800162174	3.2094571518826758	3220.966970599386	32338661232.211685	2181.326559800879	195653.47630439897	350430144.4657383	192.53906576682914	16609.79646027547	210556537.52214375	-97.81636912213804	22686.329488462583	506483227.87548476	259.00438030244743	10503.009764090797
Video 32	Neutra	-16424.783273274526	14	453.7142857142857	30107.48574214707	7830.731782561152	5257.581246426432	4626.866321821274	1510.3965479039887	1496.4028738617728	1197.6093073300349	1080.8502784040554	941.6913304075152	902.9541426446673	59.22200862977433	6.604173340288264	0.020973602124684323	2403.7293829963146	-3300.823572135299	2760.1135633204394	14.714992814944916	-0.12172699397026879	-3.5691944562673724e-05	0.846034404570865	1148612039.4455078	372.3523058212016	37305.35952939968	758217825.4194475	-253.5685035895282	51851.57793029749	95067587.94826657	-69.2840420939793	9762.771135547795	811617033.491105	229.6370795183138	71595.40139950076	506483227.87548476	259.00438030244743	10503.009764090797
Video 33	Neutra	-4473.927117911957	16	381.06666666666666	8093.633241113469	3488.799278206548	3463.896145828826	2800.8486669812337	1834.5154453760815	1161.105611956721	1024.2290586129327	842.1769083519218	825.3870358410059	793.7868010563926	59.462573277920946	5.524241358468036	0.2466536101014127	2746.4367433097946	-8331.876694639242	3685.1789992870163	12.992925253768071	-0.04108464506212895	-3.4466470071255224e-06	0.2117596998544581	67594076.71972273	-91.70892023555872	1943.9587408521218	25310275972.355003	1965.137338591489	15422.12349362795	35650100.2079519	-3.9197949554094116	5445.741244264886	214730246.98659915	-134.88541157311835	14699.652305197653	506483227.87548476	259.00438030244743	10503.009764090797
Video 34	Negativa	-22727.441343789757	9	808.8571428571429	42338.613107639074	18370.53395500628	9754.6681657724	5507.250883683552	4439.778478150779	3744.341124785201	2769.742617628949	2146.5775864955112	2074.6941695318656	2021.2127788714893	59.566841086196575	5.020450328654357	0.11881064369306224	5485.454341239007	931.8388591558278	4979.973072868012	15.74266792809839	0.01055041626526829	1.4475917429926868e-05	0.20176329611920138	574034972.9557114	38.8476275530916	86425.14077891776	96248822.26067823	-79.08729929401854	8489.19759844792	82686120.44822502	53.927007625227844	9758.25659372113	185204393.7396912	64.36969187602513	24227.31386761573	506483227.87548476	259.00438030244743	10503.009764090797
Video 35	Neutra	6863.76217627327	15	478.46153846153845	12754.994561753732	3467.3937473154206	1460.7261656458547	1029.2605398596795	763.8755386175438	694.9036899661173	673.6954511146333	647.1972690991487	483.7073074846624	477.8417911697841	59.22148280910631	6.70500021828086	0.20627661404209455	3993.5382742567967	-3868.3995521592874	3381.7686529068137	12.337349397590362	-0.025590664698623918	-4.442345031406422e-06	0.14346548122961977	38681823.23380786	-53.94482507075597	3015.4802405193414	129299137.97182871	99.44183046463088	9918.175597077165	18134214.08986295	27.80134262536969	2004.9980458161021	245280334.2277298	-146.35267554074656	16154.474972930433	506483227.87548476	259.00438030244743	10503.009764090797
Video 36	Neutra	5155.477349982921	10	482.0	9331.443847201346	3458.957523172764	3339.6371248314085	2156.6992704137565	1461.1460541204908	1437.3214535829218	1429.6902125030283	1047.2680649023246	931.6002291307748	911.123806331885	59.46618919999426	5.5625818825103135	0.015661562870944144	2739.9048393130784	-7425.009828059187	4703.566351827155	12.077370655763485	-0.09714933712319106	-1.2867482159934267e-05	0.4845043664718499	39263532.827420704	-61.87366018285736	2186.284493502257	373489178.95217884	-218.15477938819743	9621.908123496658	157959517.47764933	142.22254185787892	3969.9785932512423	392719783.91534424	-162.13358043495307	33871.982719629406	506483227.87548476	259.00438030244743	10503.009764090797
Video 37	Neutra	277.2124086511013	9	587.0	6914.287043294351	4483.066391289449	2340.862263475539	1781.3221758354102	1172.579318113175	961.241529440916	869.6770485094767	856.6814698937015	847.7133796697212	679.994846489715	59.28481852088196	6.370596256674086	0.11940956848476848	4001.815925946123	-1659.0400612363915	4747.703750003295	14.717770034843204	0.006005437745271996	1.325044293850401e-05	0.17201462713526156	136193385.50336605	90.96950581606625	12587.506349718871	161143389.55992326	60.161514717537415	21065.5476554582	19222490.770538583	13.562929710769305	2760.6686855986272	583585949.2448652	187.76722160445613	54140.82791203149	506483227.87548476	259.00438030244743	10503.009764090797
Video 38	Neutra	11337.068189634378	8	1014.0	21381.166721348713	12965.178077442633	3666.838918895673	3276.5273640215496	2997.9470929270547	2173.7878652816553	1540.399412027069	1472.5140238464398	1319.6044298867357	1260.7478039065354	59.84053097430352	3.036998385265492	0.028911658434063722	4487.240733760116	-9721.92451967925	7452.768328252771	14.215640906987506	-0.1403549721613883	-3.523239162839144e-05	0.8101883175449097	243123081.85236797	-189.54011010243173	1317.6658186644245	4335344211.845712	809.7072823963273	8489.345364641173	68172913.55047879	-83.36944613813577	3492.690099897255	196458102.2167331	-150.58812937984015	7417.900065728121	506483227.87548476	259.00438030244743	10503.009764090797
Video 39	Neutra	11110.528640413171	18	377.1764705882353	20614.586597263118	3825.5773286193325	2460.2755232761	1130.330886451365	983.2037278349948	948.4868971521794	816.1490430381347	724.2322398944049	691.2007511527577	577.8818057845561	59.37840838466174	5.884819801200395	0.07363787070730593	2391.064418024357	1986.9271411218565	4386.970572640827	12.381105916492022	0.002281986687474828	-4.748713654262e-06	0.08699993421624883	492093289.3887676	-76.19918326868003	69575.62218192626	130050140.76025183	-22.610056070058352	19410.681927047397	325841919.2758393	-213.02819476600246	4533.49792772821	413600539.3739824	34.9440415903351	62136.839719278774	506483227.87548476	259.00438030244743	10503.009764090797
Video 40	Neutra	10185.837291081436	13	442.7692307692308	18984.53314322435	5316.9080453207525	2908.513122315189	1362.6428978674053	1279.7821775303178	1023.1528478815352	874.6151208605912	843.8398326575845	700.3141756288012	634.1027997258582	59.2679460565156	6.415385675968984	0.012856647867916772	1652.9561262839677	4959.2414445318445	4584.947835801437	12.997123032662042	0.11418879400483138	5.866959127684369e-05	1.1068154652368023	57338969.14452835	-75.47604964771173	3086.908997059049	506483227.87548476	259.00438030244743	10503.009764090797	125346667.4453564	115.21268731531104	5927.425689757836	99772364.76750426	74.93095644540867	9669.108623943468	506483227.87548476	259.00438030244743	10503.009764090797
